Movie Name,Year,Score,Critics Consensus,Directors,Cast,Adjusted Score,Synopsis
Crank,2006,61,"Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.","Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez",64.57,"Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes... [More]"
Machete,2010,72,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal",79.27,"After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete... [More]"
Drive,2011,93,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.",Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",102.631,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,... [More]"
Batman,1989,71,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl",77.481,"Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City... [More]"
Under Siege,1992,79,"A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.",Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak",80.81,"A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the... [More]"
Independence Day,1996,68,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell",71.586,"In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the... [More]"
Bullitt,1968,98,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",101.685,Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of... [More]
Wanted,2008,71,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.",Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp",79.363,"Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he... [More]"
Superman: The Movie,1978,94,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder",101.342,"Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship... [More]"
Ronin,1998,69,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.",John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard",71.526,"Deirdre (Natascha McElhone) puts together a team of experts that she tasks with stealing a valuable briefcase, the contents of... [More]"
They Live,1988,85,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",John Carpenter,"Roddy Piper, Keith David, Meg Foster, George ""Buck"" Flower",88.835,"Nada (Roddy Piper), a wanderer without meaning in his life, discovers a pair of sunglasses capable of showing the world... [More]"
Cliffhanger,1993,67,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.",Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",71.327,Outdoor thriller in which a former mountain rescuer is pitted against a group of criminals who have lost their $100... [More]
Marvel's the Avengers,2012,91,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",106.026,"When Thor's evil brother, Loki (Tom Hiddleston), gains access to the unlimited power of the energy cube called the Tesseract,... [More]"
Hot Fuzz,2007,91,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,Edgar Wright,"Simon Pegg, Nick Frost, Jim Broadbent, Paddy Considine",99.759,"As a former London constable, Nicholas Angel (Simon Pegg) finds if difficult to adapt to his new assignment in the... [More]"
The Warriors,1979,87,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.",Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",90.788,A turf battle between New York City street gangs that rages from Coney Island to the Bronx. The Warriors are... [More]
Starship Troopers,1997,66,A fun movie...if you can accept the excessive gore and wooden acting.,Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",70.088,"In the distant future, the Earth is at war with a race of giant alien insects. Little is known about... [More]"
Elite Squad 2,2010,91,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.",José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held",91.982,"Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura).... [More]"
Point Break,1991,69,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.",Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty",73.019,"After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a... [More]"
